"stitch_id"	"drug"	"umls_id"	"event"	rr	log2rr	t_statistic	pvalue	observed	expected	bg_correction	sider	future_aers	medeffect
"CID000000076"	"dehydroepiandrosterone"	"C0008313"	"Cholangitis sclerosing"	11.0000000495	3.45943162512943	5.15585410405987	0.000352919225181849	2	0.181818181	0.000132472	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0016385"	"cardiac flutter"	5.50000002475	2.45943162512943	4.16265015046448	0.0181875291023405	1	0.181818181	0.000209881	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0027769"	"nervous tension"	3.23529411859862	1.69389687269864	5.3388050302088	0.00015180034425084	5	1.545454545	0.000719157000000001	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0042023"	"pollakiuria"	5.5000000020625	2.45943161917831	5.0062370379528	0.00064123045990509	4	0.727272727	0.001064829	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0221745"	"depression suicidal"	11.00000011	3.45943163306425	4.03444459814636	0.0293835173703467	1	0.09090909	0.000209212	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0438717"	"transaminases increased"	2.53846154021894	1.34395440221615	4.19549219732584	0.0155369242756189	3	1.181818181	0.002802512	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0852740"	"breast lump removal"	8.25000000309375	3.04439411989946	8.87571540392528	8.02493067217048e-12	6	0.727272727	0.000443223	0	0	0
"CID000000076"	"dehydroepiandrosterone"	"C0919894"	"nasal mucosal disorder"	11.0000000495	3.45943162512943	5.15585410405987	0.000352919225181849	2	0.181818181	8.0169e-05	0	0	0
"CID000000085"	"carnitine"	"C0002871"	"anaemia"	1.51475409837555	0.599083608979999	8.24830879226496	1.73704385636609e-10	42	27.727272727	0.018624668	1	0	0
"CID000000085"	"carnitine"	"C0009806"	"constipated"	1.7368421055374	0.796466606142662	4.59836572381631	0.00446499444372979	9	5.181818181	0.003431073	1	0	0
"CID000000085"	"carnitine"	"C0018188"	"granuloma"	7.33333333944444	2.87446911911839	6.73106849206112	4.17602850529525e-07	4	0.545454545	0.000393972	0	0	0
"CID000000085"	"carnitine"	"C0020649"	"arterial pressure NOS decreased"	1.36996336997341	0.454137318978354	5.71034389418604	3.70114578884826e-05	34	24.818181818	0.005480311	1	0	0
