stitch_id1	stitch_id2	drug1	drug2	event_umls_id	event_name	proportional_reporting_ratio	pvalue	confidence	drug1_prr	drug2_prr	observed	expected
CID000000085	CID000000271	carnitine	calcium	C0015802	femur fracture	77.5799999993794	9.14428459862879e-282	5	2.13186813186813	\N	0.2155	0.0027777777778
CID000000085	CID000000444	carnitine	bupropion	C0015672	Fatigue	3.82112194792178	3.17833903476116e-198	5	\N	\N	0.2216	0.05799343832
CID000000085	CID000000444	carnitine	bupropion	C0040264	tinnitus	8.87243745394723	6.23083445007491e-157	4	5.81818181818182	2.96842453288356	0.1103	0.01243175853
CID000000085	CID000000772	carnitine	heparin	C0013404	Difficulty breathing	1.91615150650162	3.87314692294776e-59	3	1.18169934640523	1.12462262173476	0.1141	0.059546439628
CID000000085	CID000000853	carnitine	thyroxine	C0002792	anaphylactic reaction	9.2444444443564	5.18520970994645e-72	4	3.86486486486486	\N	0.0448	0.0048461538462
CID000000085	CID000000853	carnitine	thyroxine	C0032584	polyp	49.5379525593729	9.61580009122735e-83	4	2.56410256410256	2.12719934879192	0.0466	0.00094069289489
CID000000085	CID000000937	carnitine	nicotinic acid	C0011334	dental caries	54.0671085857459	1.22702824764175e-143	4	2.88888888888889	1.57631105573256	0.0859	0.0015887662989
CID000000085	CID000000942	carnitine	nicotine	C0008031	chest pain	15.6558111540387	0	5	\N	\N	0.6003	0.038343589744
CID000000085	CID000000942	carnitine	nicotine	C0032231	pleurisy	354.667431208116	0	5	6.10750734498222	\N	0.3965	0.0011179487179
CID000000085	CID000002162	carnitine	amlodipine	C0006625	cachectic	234.009950247825	4.97578379105882e-174	5	12.7	\N	0.1069	0.00045681818182
CID000000085	CID000002162	carnitine	amlodipine	C0042029	Infection Urinary Tract	16.5907744396466	6.30380775140271e-314	5	3.55555555555556	1.20339279556542	0.2673	0.016111363636
CID000000085	CID000002244	carnitine	aspirin	C0013404	Difficulty breathing	4.2940211213365	4.77666968815981e-240	5	1.18169934640523	1.19570220907396	0.2446	0.056962924282
CID000000085	CID000002244	carnitine	aspirin	C0262414	cervical vertebral fracture	407.365805166799	3.76034487077082e-170	4	55.9319093698372	\N	0.107	0.00026266318538
CID000000085	CID000002250	carnitine	atorvastatin	C0151611	abnormal EEG	67.445884883599	2.75008201618803e-120	4	2.16657752910684	\N	0.0721	0.0010690051754
CID000000085	CID000002524	carnitine	calcitriol	C0020458	hyperhidrosis	7.85478547837503	8.37297528430197e-134	4	\N	\N	0.102	0.012985714286
CID000000085	CID000002585	carnitine	carvedilol	C0034065	Embolism pulmonary	15.5818850332691	4.64888820772799e-215	5	1.90419161676647	\N	0.1597	0.010249080882
CID000000085	CID000002771	carnitine	citalopram	C0032460	polycystic ovary disease	2139.37832161429	0	5	108.995515695067	3.94918250114415	0.3373	0.00015766262404
CID000000085	CID000002806	carnitine	clopidogrel	C0013404	Difficulty breathing	3.66495347194969	1.25878514640508e-204	5	1.18169934640523	1.1342451157997	0.2232	0.060901182432
CID000000085	CID000003016	carnitine	diazepam	C0595939	still birth	5.37936459611667	2.20613589381584e-166	4	2.43564356435644	1.28849081119076	0.1462	0.027177931034
CID000000085	CID000003043	carnitine	didanosine	C0042963	emesis	2.27078433991031	2.09717947594863e-83	4	\N	1.13194066087055	0.1273	0.056059925094
CID000000085	CID000003062	carnitine	digoxin	C0018801	cardiac failure	7.48914002219934	3.03007948233862e-225	5	\N	1.81719872127449	0.1861	0.024849315068
CID000000085	CID000003062	carnitine	digoxin	C0085624	burning sensation	15.5164582800722	1.09587972456434e-96	4	\N	\N	0.0595	0.0038346379648
CID000000085	CID000003121	carnitine	valproic acid	C0002170	alopecia	5.43237250551553	1.86018692615435e-67	3	\N	2.19334724541893	0.05	0.0092040816327
CID000000085	CID000003121	carnitine	valproic acid	C0267112	erosive gastritis	55.9317073170432	5.94937813185613e-96	4	8.66666666666667	\N	0.052	0.00092970521542
CID000000085	CID000003348	carnitine	fexofenadine	C0428977	bradycardia	39.8242109470229	0	5	\N	1.19605513363862	0.2848	0.0071514285714
CID000000085	CID000003405	carnitine	folate	C0002871	anaemia	6.33527912214085	4.68475567449026e-258	5	2.08125	1.03498853688864	0.2349	0.037078082192
CID000000085	CID000003440	carnitine	furosemide	C0003467	Anxiety	11.7894542714827	0	5	2.34246575342466	\N	0.3051	0.02587906047
CID000000085	CID000003440	carnitine	furosemide	C0019112	haemorrhoids	31.9844737567788	2.03050352611935e-235	5	10.64	1.29041563335881	0.1745	0.0054557721139
CID000000085	CID000003440	carnitine	furosemide	C0042373	angiopathy	15.1121929028134	3.45396270628214e-57	3	9.55555555555556	1.30295309069961	0.0332	0.0021969015492
CID000000085	CID000003446	carnitine	gabapentin	C0014544	epilepsy	62.5197505187107	2.30348387584165e-191	5	1.93258426966292	1.0473614588705	0.1253	0.0020041666667
CID000000085	CID000003478	carnitine	glipizide	C0015967	body temperature increased	9.15358157487593	2.44110372339087e-234	5	\N	\N	0.1957	0.021379609544
CID000000085	CID000003878	carnitine	lamotrigine	C0042963	emesis	4.29207222160165	4.15509522719042e-169	4	\N	\N	0.1678	0.039095334686
CID000000085	CID000003883	carnitine	lansoprazole	C0032285	neumonia	2.55773085275249	5.91455212472074e-65	3	\N	1.51287790823067	0.0796	0.031121335505
CID000000085	CID000003937	carnitine	lisinopril	C0009676	confusion	3.66367854672861	2.34124720124932e-108	4	\N	\N	0.1016	0.027731690623
CID000000085	CID000003937	carnitine	lisinopril	C0020538	High blood pressure	9.27482618458172	0	5	2.98529411764706	1.71138424016127	0.4748	0.051192334018
CID000000085	CID000003937	carnitine	lisinopril	C0042769	Infection Viral	29.2030050407701	2.48191371831857e-162	4	18.3636363636364	\N	0.1031	0.00353045859
CID000000085	CID000003957	carnitine	loratadine	C0015967	body temperature increased	6.24329559756438	2.42515172417147e-234	5	\N	1.09751834588155	0.2051	0.032851239669
CID000000085	CID000003958	carnitine	lorazepam	C0032285	neumonia	5.6004058277767	7.09942648888513e-178	5	\N	1.27218409551659	0.1436	0.025640998959
CID000000085	CID000004168	carnitine	metoclopramide	C0031117	neuropathy peripheral	16.8021978023798	2.00842174744101e-125	4	4.82608695652174	1.44985733467053	0.077	0.0045827338129
CID000000085	CID000004171	carnitine	metoprolol	C0020649	arterial pressure NOS decreased	2.17270662240388	4.98400363838078e-119	4	\N	1.07125999457995	0.1884	0.086712121212
CID000000085	CID000004510	carnitine	nitroglycerin	C0002962	angina	13.8440707255315	1.75078090391596e-318	5	1.74178451633174	3.03520909824246	0.2817	0.020348061317
CID000000085	CID000004543	carnitine	nortriptyline	C0003467	Anxiety	13.1115021697447	0	5	2.34246575342466	1.29556313841753	0.8315	0.0634176
CID000000085	CID000004543	carnitine	nortriptyline	C0022346	icterus	17.0957043588124	2.48836869086139e-125	4	6.52173913043478	1.19786872671887	0.0866	0.0050656
CID000000085	CID000004543	carnitine	nortriptyline	C0917801	insomnia	5.71837026447462	3.39172596094755e-268	5	4.52032520325203	1.13752800641095	0.2688	0.0470064
CID000000085	CID000004594	carnitine	omeprazole	C0002962	angina	1.78645225621305	2.73921423780798e-17	2	1.74178451633174	1.02522118106193	0.038	0.021271209386
CID000000085	CID000004594	carnitine	omeprazole	C0027651	neoplasia	56.8782719190197	5.87611678120813e-81	4	8.63988843924314	\N	0.0404	0.00071028880866
CID000000085	CID000004594	carnitine	omeprazole	C0152031	joint swelling	5.09440496806347	4.42599379053516e-52	3	\N	1.23805053219661	0.0385	0.0075573104693
CID000000085	CID000004679	carnitine	pantoprazole	C0042029	Infection Urinary Tract	10.4987842671447	3.69869311237274e-246	5	3.55555555555556	1.28752077918047	0.2039	0.019421296296
CID000000085	CID000004894	carnitine	prednisolone	C0013404	Difficulty breathing	7.03079042637787	2.07585138797763e-306	5	1.18169934640523	\N	0.3006	0.042754794521
CID000000085	CID000004894	carnitine	prednisolone	C0041657	loss of consciousness	10.7664301141557	6.07911948019808e-134	4	\N	\N	0.0956	0.0088794520548
CID000000085	CID000005039	carnitine	ranitidine	C0002792	anaphylactic reaction	6.74247491624364	2.70333571831188e-111	4	3.86486486486486	2.18714481455834	0.09	0.013348214286
CID000000085	CID000005073	carnitine	risperidone	C0020649	arterial pressure NOS decreased	3.2091622261548	1.24031902936048e-144	4	\N	\N	0.1645	0.051259484067
CID000000085	CID000005076	carnitine	ritonavir	C0032285	neumonia	21.2149435586351	0	5	\N	\N	0.4954	0.023351464435
CID000000085	CID000005090	carnitine	rofecoxib	C0018802	Cardiac decompensation	24.2401952592156	0	5	2.85	4.96559673647748	1	0.041253793103
CID000000085	CID000005090	carnitine	rofecoxib	C0398353	Hypoventilation	11.6934210526316	0	5	5	3.5416913325966	0.8887	0.076
CID000000085	CID000005408	carnitine	testosterone	C0000737	abdominal pain	9.5769066895825	5.96399154088042e-213	5	\N	\N	0.169	0.017646616541
CID000000085	CID000005514	carnitine	topiramate	C0020672	decreased body temperature	54.1136842102985	1.75323308031419e-209	5	10.8571428571429	1.5624735353308	0.1428	0.0026388888889
CID000000085	CID000005732	carnitine	zolpidem	C0031117	neuropathy peripheral	57.2526096454343	2.67969945976476e-272	5	4.82608695652174	1.32027534500244	0.1991	0.0034775707384
CID000000085	CID000006691	carnitine	warfarin	C0013404	Difficulty breathing	4.17004980654394	8.53010283277086e-274	5	1.18169934640523	1.01518085818199	0.3023	0.072493138937
CID000000085	CID000006691	carnitine	warfarin	C0085619	orthopnea	116.549892567548	7.31376577465833e-305	5	4.07792207792208	1.12502545853271	0.2326	0.0019957118353
CID000000085	CID000027661	carnitine	isosorbide-5-mononitrate	C0017181	gastrointestinal bleed	4.27420692636372	2.35263717729697e-104	4	2.05988023952096	1.46730322667098	0.0874	0.020448237885
CID000000085	CID000054454	carnitine	simvastatin	C0015802	femur fracture	103.431830007108	3.105594919208e-219	5	2.13186813186813	\N	0.1526	0.0014753678823
CID000000085	CID000059708	carnitine	levetiracetam	C0005747	Blepharospasm	26.2649944668982	1.82969900942291e-269	5	1.59925700229783	1.15771043771983	0.2052	0.0078126801153
CID000000085	CID000087177	carnitine	lactulose	C0002792	anaphylactic reaction	27.1408577877491	1.22462565210612e-280	5	3.86486486486486	\N	0.2073	0.0076379310345
CID000000085	CID000156419	carnitine	cinacalcet	C0016412	folate deficiency	403.36363636272	8.87163308704316e-263	5	40.4840486867393	7.8509090911714	0.1972	0.00048888888889
CID000000085	CID003085017	carnitine	sevelamer	C0021311	infection	7.00102695742231	5.04060303759819e-114	4	1.57377049180328	\N	0.0814	0.011626865672
CID000000085	CID005281104	carnitine	paricalcitol	C0011168	deglutition disorder	2.47643979061914	3.02710821795171e-19	2	1.43939393939394	\N	0.0258	0.010418181818
CID000000085	CID005281104	carnitine	paricalcitol	C0151611	abnormal EEG	97.166666665695	2.54351759331722e-52	3	2.16657752910684	\N	0.0265	0.00027272727273
CID000000119	CID000000772	GABA	heparin	C0004030	aspergillosis	91.6460048416238	2.10318738596165e-244	5	\N	\N	0.1791	0.0019542586751
CID000000119	CID000001117	GABA	sulfate	C0002871	anaemia	3.0206988649144	7.97853796725087e-179	5	\N	1.37610693662507	0.2262	0.074883333333
CID000000119	CID000001117	GABA	sulfate	C0025222	black stools	52.2572944295696	1.60677006396692e-280	5	6.26153846163479	1.2926708074614	0.2189	0.0041888888889
